slot_id,zone,slot_type,distance_m,walking_time_min,parking_fee,occupancy,availability,distance_destination_m,traffic_level,weather,ev_charging,reserved,recommended
S011,D,Standard,213,3.79,50,30,0,252,High,Clear,0,0,0
S081,B,Standard,828,13.59,10,51,1,775,Low,Clear,1,0,0
S008,A,Compact,612,9.79,100,41,1,158,Medium,Cloudy,0,0,0
S035,C,Compact,687,11.36,20,41,0,1017,Low,Rain,0,0,0
S035,A,Large,641,11.07,10,80,1,333,Low,Clear,0,0,1
S033,A,Standard,232,4.12,80,31,1,990,Low,Cloudy,0,0,1
S005,B,Standard,359,5.87,50,87,1,786,Low,Clear,0,0,0
S041,A,Standard,66,1.0,100,86,0,1191,Low,Clear,0,0,0
S028,C,Standard,495,8.08,50,30,1,981,Medium,Clear,0,0,0
S007,C,Compact,219,3.26,10,31,0,652,Medium,Clear,0,0,0
S073,B,EV,329,5.72,80,43,1,540,Low,Cloudy,1,0,1
S072,A,Standard,962,16.32,40,19,1,68,High,Clear,0,0,0
S012,C,Large,865,14.3,80,74,1,850,Low,Clear,0,0,0
S034,A,Standard,389,6.33,60,74,0,809,Medium,Clear,0,0,0
S033,A,Standard,775,12.71,40,97,0,978,Low,Cloudy,0,0,0
S048,A,Compact,759,12.51,50,76,0,347,Low,Cloudy,1,0,0
S023,B,Standard,568,9.25,30,52,1,754,Medium,Cloudy,1,0,0
S062,A,Standard,959,15.94,30,50,0,864,Medium,Clear,0,0,0
S088,C,Compact,60,1.24,40,22,0,852,Medium,Cloudy,0,0,0
S037,A,Large,573,9.76,30,13,1,422,Medium,Clear,0,0,1
S099,C,Standard,671,10.93,40,32,1,977,Medium,Clear,0,0,0
S044,A,Standard,182,3.08,20,79,1,1000,Low,Cloudy,0,0,1
S086,C,Large,950,16.03,100,43,0,893,Medium,Cloudy,0,0,0
S091,C,Large,689,11.2,40,50,1,996,Medium,Rain,1,0,0
S035,A,Compact,197,3.33,20,27,1,492,Low,Rain,1,0,1
S065,A,Standard,615,10.61,60,99,1,191,Low,Cloudy,0,0,0
S099,C,EV,872,14.46,50,42,0,451,Low,Rain,1,1,0
S047,D,Standard,128,1.53,30,34,1,872,Low,Cloudy,0,0,1
S078,B,Compact,395,5.83,60,61,1,271,Medium,Clear,0,0,1
S003,D,Standard,658,11.06,60,26,1,786,Medium,Clear,0,0,0
S001,D,Compact,298,5.0,80,60,1,1043,Medium,Cloudy,0,0,0
S005,A,Standard,688,11.52,80,12,0,162,High,Clear,0,0,0
S090,B,Standard,591,10.0,50,64,0,1143,Low,Clear,0,0,0
S014,D,Standard,73,1.0,10,95,1,647,Low,Clear,0,0,1
S027,A,Standard,520,8.42,100,65,1,953,Medium,Clear,1,0,0
S009,D,Compact,250,4.29,10,44,1,534,High,Cloudy,0,0,1
S079,D,Large,180,3.22,60,77,1,600,Medium,Cloudy,0,0,1
S015,A,EV,683,11.31,60,68,1,1083,Medium,Cloudy,1,0,0
S090,A,Standard,405,6.32,80,68,1,52,High,Cloudy,0,0,0
S042,A,Compact,993,16.65,50,22,0,711,Medium,Clear,0,0,0
S077,B,Compact,888,14.82,100,71,1,116,Medium,Clear,0,0,0
S051,D,Standard,199,3.0,40,56,0,754,High,Rain,0,0,0
S063,A,Standard,575,8.99,40,85,0,1170,Low,Clear,0,0,0
S096,C,Compact,353,6.05,100,12,1,147,High,Clear,0,1,0
S052,D,EV,590,9.65,30,30,1,1130,Low,Cloudy,1,0,0
S096,C,Compact,99,1.71,50,74,1,1180,High,Clear,0,0,0
S004,B,Standard,513,8.59,10,27,1,137,Low,Clear,0,0,1
S094,A,Standard,289,4.47,50,22,1,1021,Medium,Clear,0,0,1
S023,C,Standard,531,8.98,50,80,0,702,High,Clear,0,0,0
S015,B,Large,955,15.66,100,86,1,705,Low,Clear,0,0,0
S043,A,Compact,504,7.95,100,90,1,961,Medium,Rain,0,1,0
S029,C,Standard,332,5.05,80,54,1,420,Low,Cloudy,0,0,1
S036,C,Large,384,6.4,30,71,0,424,Low,Clear,1,1,0
S013,B,Standard,401,7.16,40,39,0,101,High,Cloudy,0,0,0
S032,A,EV,717,11.96,60,84,1,90,Low,Clear,1,0,0
S071,A,Standard,698,12.17,10,23,1,865,Medium,Clear,0,0,0
S059,C,Standard,376,6.7,30,62,1,140,Low,Cloudy,0,0,1
S086,C,Standard,385,6.57,100,19,1,88,High,Rain,0,0,1
S028,C,Standard,715,12.39,10,81,1,1086,Medium,Cloudy,0,0,0
S066,A,Standard,130,2.61,10,40,1,949,Medium,Rain,0,0,1
S042,B,Compact,136,2.62,40,15,1,670,High,Rain,0,1,0
S045,B,Compact,825,13.18,60,92,1,153,Low,Cloudy,0,0,0
S062,A,Compact,307,5.05,60,28,0,792,Medium,Rain,0,0,0
S057,D,Standard,234,3.69,80,21,1,92,Medium,Clear,0,0,1
S006,B,Standard,741,12.7,40,73,1,258,Low,Clear,0,0,0
S028,C,Standard,747,12.36,30,91,1,649,Medium,Cloudy,0,0,0
S028,D,Compact,172,3.39,20,64,0,654,Medium,Clear,0,0,0
S044,D,Standard,938,15.66,30,76,1,525,Medium,Clear,0,0,0
S084,B,EV,145,2.41,30,18,1,158,Low,Clear,1,0,1
S030,D,Compact,654,10.79,20,15,1,263,Low,Cloudy,0,0,1
S062,D,Standard,564,9.34,10,10,0,458,Low,Clear,1,0,0
S075,B,Standard,953,15.96,50,51,1,820,Low,Clear,0,0,0
S092,B,Standard,492,8.18,20,64,1,682,Low,Clear,0,0,1
S089,D,Standard,563,9.24,50,58,1,126,Medium,Cloudy,0,0,1
S062,C,Large,420,6.88,100,39,0,144,Medium,Clear,0,0,0
S097,A,EV,354,6.45,10,44,1,318,High,Cloudy,1,0,1
S001,D,Standard,406,7.37,20,72,0,410,Medium,Rain,0,0,0
S027,D,Compact,197,3.14,40,31,0,579,Low,Clear,0,1,0
S062,C,Compact,334,5.82,30,52,1,732,Low,Rain,0,0,1
S077,D,Compact,706,11.52,20,37,1,211,Medium,Clear,0,0,1
S003,D,Standard,891,14.75,20,27,1,514,High,Clear,0,0,0
S070,A,Standard,922,15.04,10,41,1,872,Medium,Cloudy,0,0,0
S072,A,Standard,967,16.42,40,78,0,597,Medium,Rain,0,0,0
S027,A,Large,311,5.33,20,63,1,101,Low,Clear,0,0,1
S009,B,Standard,623,10.59,100,43,0,537,Medium,Cloudy,0,0,0
S062,B,Standard,540,9.27,40,40,1,141,Medium,Clear,0,1,0
S037,A,EV,787,12.86,50,13,1,700,Low,Clear,1,0,0
S097,A,Compact,80,1.24,20,23,1,406,Medium,Cloudy,0,0,1
S051,B,Large,751,12.65,100,24,1,768,Low,Clear,0,0,0
S044,C,Standard,936,15.5,40,69,1,248,Medium,Cloudy,0,0,0
S024,D,Standard,317,5.3,30,29,1,864,Medium,Clear,0,0,1
S079,D,EV,61,1.0,10,29,0,266,Medium,Cloudy,1,0,0
S059,A,Standard,240,4.4,60,58,0,605,Medium,Cloudy,1,0,0
S032,C,Standard,449,7.76,40,77,1,852,Medium,Cloudy,0,0,0
S096,B,Standard,586,10.14,10,27,1,750,High,Clear,0,1,0
S088,A,Standard,967,16.31,60,33,0,552,Medium,Clear,0,0,0
S052,C,Standard,140,2.01,100,36,0,518,Medium,Rain,0,0,0
S062,C,Large,649,10.67,20,42,1,415,Low,Rain,1,1,0
S058,C,EV,893,14.67,20,73,1,673,Medium,Cloudy,1,0,0
S052,B,EV,550,9.09,50,34,0,969,Low,Cloudy,1,0,0
S012,B,Standard,835,14.23,10,78,0,610,Low,Cloudy,1,0,0
S039,D,Standard,350,5.39,30,27,1,872,Low,Clear,0,0,1
S002,D,Standard,160,2.49,80,54,1,1016,Medium,Clear,0,1,0
S003,C,Large,129,2.03,30,29,0,712,Medium,Cloudy,1,0,0
S056,C,Standard,885,14.36,40,44,0,800,High,Clear,0,0,0
S081,B,Compact,701,11.74,30,15,1,1148,Medium,Rain,0,0,0
S059,D,Compact,482,7.93,60,100,1,1171,Low,Clear,0,0,0
S002,C,Standard,466,8.1,10,84,1,432,Medium,Clear,0,0,1
S002,D,Standard,263,4.3,20,18,1,358,Medium,Cloudy,0,0,1
S092,D,EV,496,8.4,10,61,0,225,Medium,Clear,1,0,0
S054,C,EV,67,1.15,10,37,1,277,Medium,Cloudy,1,0,1
S087,B,Standard,103,1.0,20,28,1,396,Low,Cloudy,0,0,1
S096,C,Standard,929,15.05,60,94,0,1070,Medium,Clear,0,0,0
S097,C,EV,658,11.08,100,72,1,399,Medium,Clear,1,0,0
S001,D,Standard,844,14.17,10,16,1,504,High,Clear,0,0,0
S019,C,Standard,795,13.23,30,46,0,490,Low,Cloudy,0,0,0
S002,B,Standard,289,5.22,40,98,0,810,Medium,Clear,0,0,0
S053,C,Standard,895,15.07,80,45,0,564,Medium,Cloudy,0,0,0
S044,B,Standard,970,16.64,40,26,0,1154,Low,Clear,0,0,0
S090,B,Standard,467,7.05,10,99,1,337,Medium,Cloudy,0,0,1
S032,D,Standard,905,15.6,60,46,1,57,High,Cloudy,0,0,0
S070,A,Standard,535,8.73,20,90,1,136,Medium,Cloudy,0,0,1
S032,A,EV,493,8.22,50,69,0,1047,Low,Cloudy,1,0,0
S068,D,Large,615,10.61,60,58,1,335,Low,Clear,0,0,0
S055,C,Large,648,10.17,10,90,1,123,Low,Rain,0,0,1
S075,D,Compact,822,13.62,10,65,1,1196,Low,Clear,0,1,0
S056,B,Standard,797,13.59,50,43,0,855,Medium,Clear,0,0,0
S017,A,Standard,172,2.68,40,96,0,207,Medium,Clear,0,0,0
S038,D,EV,469,8.09,60,39,0,479,Medium,Cloudy,1,0,0
S024,C,Standard,615,10.45,40,36,1,1182,Medium,Cloudy,0,0,0
S069,D,Standard,265,4.47,80,60,1,895,Medium,Cloudy,0,0,0
S098,A,Compact,469,8.0,50,18,1,85,Medium,Clear,0,0,1
S070,D,Standard,758,13.02,20,29,1,1163,Low,Clear,0,0,0
S086,D,Standard,600,10.18,80,96,1,1070,Medium,Cloudy,0,0,0
S011,A,EV,926,15.71,10,56,1,1023,Low,Rain,1,0,0
S016,B,Large,277,4.35,30,28,1,1067,High,Clear,1,0,0
S097,B,Standard,286,4.94,40,77,1,762,High,Rain,1,0,0
S073,A,EV,693,11.7,40,86,0,1119,Medium,Cloudy,1,0,0
S059,D,Compact,379,6.65,60,21,1,537,Medium,Cloudy,0,0,1
S070,A,Compact,882,14.35,80,82,0,668,Medium,Clear,0,0,0
S080,B,Standard,518,8.96,80,88,0,219,Medium,Cloudy,0,0,0
S093,C,Standard,729,11.89,40,94,1,195,Low,Rain,0,0,0
S003,D,Compact,536,9.64,100,88,1,917,Low,Clear,1,0,0
S020,B,Large,598,9.7,20,14,0,469,High,Clear,1,0,0
S059,D,Compact,628,10.12,50,78,1,622,Low,Rain,0,1,0
S036,A,Standard,672,11.11,20,34,1,1076,Medium,Clear,0,0,0
S019,C,Standard,464,8.05,40,97,1,848,High,Clear,0,0,0
S090,A,Large,268,4.57,60,40,1,370,Medium,Clear,0,0,1
S067,C,Standard,770,13.34,10,55,1,295,Medium,Cloudy,0,0,0
S019,D,Standard,430,7.08,40,43,1,526,High,Clear,0,0,0
S020,D,Standard,136,2.12,10,50,1,1166,Medium,Clear,0,0,1
S096,A,Standard,510,8.28,60,87,1,832,Medium,Clear,0,0,0
S071,C,Compact,864,14.24,10,100,0,582,Low,Clear,0,0,0
S052,C,Compact,460,7.25,40,77,1,286,Medium,Cloudy,0,0,1
S033,D,Standard,740,12.14,40,96,0,1024,Low,Clear,0,0,0
S040,A,Standard,965,15.72,10,47,1,728,Low,Rain,0,0,0
S039,C,Large,574,9.78,20,55,0,628,Medium,Clear,0,0,0
S082,D,Standard,496,8.71,20,78,1,179,Medium,Cloudy,1,0,1
S001,B,Standard,349,5.88,60,36,1,60,High,Cloudy,0,0,1
S011,A,EV,457,7.41,20,52,0,306,Low,Clear,1,0,0
S092,B,Standard,686,11.66,80,87,1,865,Medium,Cloudy,0,0,0
S057,A,EV,424,7.05,30,80,0,418,Low,Rain,1,0,0
S089,D,Standard,282,5.0,10,54,1,993,High,Clear,0,0,0
S050,C,Compact,812,13.25,30,27,1,931,Medium,Clear,0,0,0
S023,C,Standard,948,15.54,30,41,0,68,Low,Cloudy,1,0,0
S031,C,EV,687,11.67,80,11,1,159,Medium,Cloudy,1,1,0
S094,A,Standard,796,13.26,10,50,0,554,High,Cloudy,0,1,0
S042,D,Standard,699,11.93,30,29,1,1107,High,Rain,0,0,0
S099,B,EV,98,1.38,60,67,1,1052,Low,Cloudy,1,0,1
S007,D,Standard,941,15.81,60,99,0,304,Medium,Clear,1,1,0
S016,B,Standard,235,4.08,10,47,1,687,Medium,Clear,0,0,1
S090,A,Standard,254,3.77,50,10,1,183,Medium,Clear,0,0,1
S060,A,Compact,127,2.12,50,78,1,548,Medium,Cloudy,0,0,1
S002,B,Standard,530,8.23,100,63,0,446,Medium,Clear,0,0,0
S001,B,Standard,435,7.69,80,23,1,696,High,Clear,0,0,0
S048,B,Compact,243,3.65,10,34,0,734,High,Rain,0,0,0
S012,D,Standard,152,2.48,10,18,1,68,Medium,Clear,0,1,0
S069,B,EV,666,11.1,10,92,0,1060,Medium,Clear,1,0,0
S037,A,EV,425,6.79,20,70,1,168,Medium,Clear,1,0,1
S032,A,Compact,336,6.15,10,61,0,351,Low,Clear,0,0,0
S009,C,Large,885,14.54,60,17,1,276,Medium,Clear,0,0,0
S099,B,Compact,531,8.77,60,25,1,405,Medium,Rain,0,0,1
S019,D,Standard,772,12.66,40,17,1,750,Low,Rain,0,1,0
S048,D,Large,299,4.77,50,32,1,536,High,Clear,0,1,0
S080,D,Standard,854,14.2,100,82,1,272,High,Cloudy,0,0,0
S003,C,Standard,250,4.38,50,43,1,1044,High,Cloudy,0,0,0
S020,A,Large,585,9.8,80,27,1,549,Medium,Clear,1,0,0
S024,D,Standard,510,8.27,10,53,1,1095,Medium,Clear,0,0,0
S054,A,Large,349,5.81,50,24,1,1200,High,Rain,1,1,0
S033,C,Standard,527,8.37,10,24,1,414,Low,Cloudy,0,0,1
S024,B,Compact,132,2.55,10,32,0,1117,Medium,Clear,0,0,0
S075,B,Standard,858,14.15,50,96,1,568,High,Clear,0,0,0
S072,B,Compact,507,8.31,50,74,0,578,Medium,Cloudy,0,0,0
S036,D,Large,740,11.75,40,95,1,235,High,Clear,0,0,0
S038,B,Compact,347,5.63,80,80,1,847,Medium,Clear,0,0,0
S084,D,Standard,413,7.39,100,41,1,1031,Low,Clear,1,0,0
S099,C,Standard,767,12.97,30,41,0,397,Low,Clear,0,0,0
S089,C,Standard,89,1.82,40,42,0,971,Medium,Rain,0,0,0
S099,D,Compact,865,14.45,40,52,1,970,Low,Clear,1,0,0
S025,A,EV,674,10.45,50,22,1,1006,Medium,Cloudy,1,0,0
S093,B,Standard,389,6.5,100,18,1,410,Low,Rain,1,0,1
S018,B,Compact,565,9.48,80,71,1,231,High,Clear,0,0,0
S082,B,Large,157,2.89,60,66,1,146,Low,Clear,0,0,1
S066,D,Standard,365,6.07,80,57,0,612,Medium,Rain,0,0,0
S054,C,Compact,163,2.49,40,52,1,363,Medium,Cloudy,0,0,1
S035,B,Large,216,3.57,60,76,0,1004,High,Cloudy,0,0,0
S080,C,Standard,310,5.06,50,90,1,70,Medium,Cloudy,0,0,1
S061,B,Standard,667,11.27,20,41,0,854,High,Clear,0,0,0
S041,B,Standard,273,4.52,10,82,1,625,Medium,Cloudy,0,0,1
S100,D,EV,311,4.89,30,69,0,452,Low,Cloudy,1,0,0
S033,A,EV,300,5.17,60,10,1,1197,Medium,Clear,1,0,0
S068,D,Large,575,9.36,20,66,0,662,Medium,Clear,0,0,0
S033,B,Standard,759,12.56,60,93,1,1192,Medium,Clear,1,0,0
S014,B,Standard,175,2.78,10,78,1,1019,Medium,Clear,0,0,1
S021,A,Standard,255,4.32,10,94,0,742,Medium,Rain,0,0,0
S048,C,Standard,189,2.74,80,78,1,1008,Low,Cloudy,0,0,0
S020,C,Compact,111,1.86,30,77,1,921,Low,Clear,0,0,1
S008,B,EV,332,5.86,40,70,0,889,High,Cloudy,1,0,0
S007,C,EV,103,1.75,10,17,0,152,Medium,Clear,1,0,0
S067,B,Compact,395,6.38,30,98,1,382,Low,Rain,0,0,1
S017,A,Standard,573,9.44,60,16,0,802,Low,Cloudy,0,0,0
S033,A,Standard,185,3.17,60,46,0,183,Low,Cloudy,0,0,0
S048,B,Standard,379,6.48,60,51,0,474,High,Clear,0,0,0
S076,A,Large,193,3.67,80,41,1,986,Low,Clear,0,0,1
S059,D,Large,485,7.6,60,26,1,554,Medium,Clear,0,0,1
S086,D,Standard,331,5.6,60,37,0,920,Low,Clear,0,0,0
S022,A,Standard,185,3.14,50,79,1,239,Medium,Cloudy,0,0,1
S030,B,Standard,538,8.95,10,57,1,661,Low,Clear,0,0,1
S038,B,Standard,862,14.47,80,63,0,101,Low,Clear,0,0,0
S051,A,Standard,782,12.96,10,51,0,661,Medium,Cloudy,0,0,0
S054,C,Standard,901,14.72,40,45,1,423,Medium,Clear,0,0,0
S008,D,Standard,770,12.9,80,75,1,424,Medium,Clear,0,0,0
S027,C,Large,964,16.26,100,40,0,438,Low,Rain,0,0,0
S027,B,Compact,450,7.49,40,74,1,723,Medium,Clear,0,0,0
S098,B,Standard,920,15.65,80,12,1,853,Low,Clear,0,0,0
S021,C,Standard,941,15.61,50,22,0,453,Medium,Cloudy,0,0,0
S030,A,Standard,498,8.44,10,40,1,642,Low,Cloudy,0,0,1
S097,C,Standard,684,10.93,80,38,1,781,Low,Cloudy,0,0,0
S028,C,Standard,677,11.96,40,66,1,554,Low,Cloudy,0,0,0
S064,D,Standard,718,11.9,80,42,1,132,Medium,Rain,0,0,0
S097,D,Compact,319,5.17,30,62,0,368,Medium,Clear,0,0,0
S069,C,Large,66,1.02,60,19,1,1140,Medium,Clear,1,0,1
S061,C,Standard,318,5.02,60,72,1,463,Medium,Cloudy,0,0,1
S048,B,Large,910,14.82,100,82,1,502,Low,Cloudy,0,0,0
S019,D,Standard,531,8.86,10,74,0,795,Low,Cloudy,0,0,0
S004,D,Standard,268,4.5,60,11,1,247,Low,Clear,0,0,1
S035,B,Compact,368,6.2,60,11,0,308,Low,Cloudy,0,0,0
S064,A,Compact,287,4.77,100,78,0,347,Low,Clear,0,0,0
S049,D,EV,594,9.88,30,83,0,349,Low,Rain,1,0,0
S017,D,Compact,334,5.21,20,46,1,178,High,Clear,0,0,1
S044,A,EV,86,1.29,50,11,0,547,Medium,Rain,1,0,0
S092,D,EV,152,2.58,40,70,1,487,Medium,Cloudy,1,0,1
S030,D,Compact,772,12.71,20,49,0,256,Medium,Cloudy,0,1,0
S093,A,Standard,479,8.07,40,72,0,343,High,Clear,0,0,0
S046,A,Compact,841,13.98,20,34,0,78,Medium,Clear,0,0,0
S006,C,EV,703,11.67,60,47,0,228,Low,Rain,1,0,0
S099,B,Large,288,4.86,40,46,1,90,High,Clear,0,1,0
S037,B,Standard,790,13.31,50,91,1,393,Medium,Clear,0,0,0
S024,A,Large,694,11.78,10,36,1,865,Medium,Clear,0,1,0
S093,A,Standard,174,3.49,30,93,1,786,Medium,Clear,0,0,1
